Review,Answer
___  canem  !,Neither Satisfied Nor Dissatisfied
___  canem  !,Neither Satisfied Nor Dissatisfied
___  canem  !,Neither Satisfied Nor Dissatisfied
?  T  ?  mala  !,Neither Satisfied Nor Dissatisfied
?  T  ?  mala  !,Neither Satisfied Nor Dissatisfied
?  T  ?  mala  !,Neither Satisfied Nor Dissatisfied
"A  fairly  fun  ,  light  course  that  lets  you  watch  a  lot  of  really  good  films  !  ",Satisfied
"A  fairly  fun  ,  light  course  that  lets  you  watch  a  lot  of  really  good  films  !  ",Satisfied
"A  fairly  fun  ,  light  course  that  lets  you  watch  a  lot  of  really  good  films  !  ",Satisfied
"TAKE  THIS  CLASS  !  Also  do  all  the  readings  ,  they  are  great  books  that  you  do  n't  want  to  miss  !  ",Satisfied
"TAKE  THIS  CLASS  !  Also  do  all  the  readings  ,  they  are  great  books  that  you  do  n't  want  to  miss  !  ",Satisfied
"TAKE  THIS  CLASS  !  Also  do  all  the  readings  ,  they  are  great  books  that  you  do  n't  want  to  miss  !  ",Satisfied
"A  fun  class  ,  and  not  much  work  .  ",Satisfied
"A  fun  class  ,  and  not  much  work  .  ",Satisfied
"A  fun  class  ,  and  not  much  work  .  ",Satisfied
A  general  interest  in  childhood  literature  is  enough  for  you  to  be  engaged  in  this  course  .,Satisfied
A  general  interest  in  childhood  literature  is  enough  for  you  to  be  engaged  in  this  course  .,Satisfied
A  general  interest  in  childhood  literature  is  enough  for  you  to  be  engaged  in  this  course  .,Satisfied
"TAKE  THIS  CLASS  !  It  was  one  of  the  most  interesting  classes  I  've  taken  at  Princeton  ,  and  Professor  Fuss  is  a  FABULOUS  lecturer  .  Seriously  .  Take  it  .  ",Satisfied
"TAKE  THIS  CLASS  !  It  was  one  of  the  most  interesting  classes  I  've  taken  at  Princeton  ,  and  Professor  Fuss  is  a  FABULOUS  lecturer  .  Seriously  .  Take  it  .  ",Satisfied
"TAKE  THIS  CLASS  !  It  was  one  of  the  most  interesting  classes  I  've  taken  at  Princeton  ,  and  Professor  Fuss  is  a  FABULOUS  lecturer  .  Seriously  .  Take  it  .  ",Satisfied
A  good  class  for  senior  spring  .,Satisfied
A  good  class  for  senior  spring  .,Satisfied
A  good  class  for  senior  spring  .,Satisfied
A  good  course  to  take  but  not  necessarily  as  easy  as  I  thought  .,Satisfied
A  good  course  to  take  but  not  necessarily  as  easy  as  I  thought  .,Satisfied
A  good  course  to  take  but  not  necessarily  as  easy  as  I  thought  .,Satisfied
TAKE  THIS  CLASS  !  Professor  Gleason  is  the  best  !,Satisfied
TAKE  THIS  CLASS  !  Professor  Gleason  is  the  best  !,Satisfied
TAKE  THIS  CLASS  !  Professor  Gleason  is  the  best  !,Satisfied
A  good  place  to  do  theory  without  getting  lost  due  to  a  lack  of  connection  to  literary  writers  and  writings  .  Plus  a  wonderful  seminar  leader  and  teacher  in  Diane  Fuss  .,Neither Satisfied Nor Dissatisfied
A  good  place  to  do  theory  without  getting  lost  due  to  a  lack  of  connection  to  literary  writers  and  writings  .  Plus  a  wonderful  seminar  leader  and  teacher  in  Diane  Fuss  .,Satisfied
A  good  place  to  do  theory  without  getting  lost  due  to  a  lack  of  connection  to  literary  writers  and  writings  .  Plus  a  wonderful  seminar  leader  and  teacher  in  Diane  Fuss  .,Satisfied
"A  great  course  -  lectures  are  really  interesting  ,  and  if  you  p/d/f  ,  there  's  not  much  work  to  be  done  at  all  .  ",Satisfied
"A  great  course  -  lectures  are  really  interesting  ,  and  if  you  p/d/f  ,  there  's  not  much  work  to  be  done  at  all  .  ",Satisfied
"A  great  course  -  lectures  are  really  interesting  ,  and  if  you  p/d/f  ,  there  's  not  much  work  to  be  done  at  all  .  ",Satisfied
Take  this  class  !  The  material  is  extremely  well  presented  and  interesting  .  Professor  Morrison  is  a  wonderful  and  engaging  professor  .  Try  to  get  into  his  precept  .,Satisfied
Take  this  class  !  The  material  is  extremely  well  presented  and  interesting  .  Professor  Morrison  is  a  wonderful  and  engaging  professor  .  Try  to  get  into  his  precept  .,Satisfied
Take  this  class  !  The  material  is  extremely  well  presented  and  interesting  .  Professor  Morrison  is  a  wonderful  and  engaging  professor  .  Try  to  get  into  his  precept  .,Satisfied
"A  great  experience  ,  very  moving  ,  and  strongly  recommended  for  anyone  with  an  interest  in  children  ,  eyewitness  accounts  ,  WWII  ,  or  the  Holocaust  .  ",Satisfied
"A  great  experience  ,  very  moving  ,  and  strongly  recommended  for  anyone  with  an  interest  in  children  ,  eyewitness  accounts  ,  WWII  ,  or  the  Holocaust  .  ",Satisfied
"A  great  experience  ,  very  moving  ,  and  strongly  recommended  for  anyone  with  an  interest  in  children  ,  eyewitness  accounts  ,  WWII  ,  or  the  Holocaust  .  ",Satisfied
"Take  this  class  !  There  is  a  decent  amount  of  reading  ,  but  it  is  interesting  and  Professor  ___  is  very  good  .  ",Satisfied
"Take  this  class  !  There  is  a  decent  amount  of  reading  ,  but  it  is  interesting  and  Professor  ___  is  very  good  .  ",Satisfied
"Take  this  class  !  There  is  a  decent  amount  of  reading  ,  but  it  is  interesting  and  Professor  ___  is  very  good  .  ",Satisfied
