Review,Answer
If  you  are  looking  for  a  course  with  little  commitment  take  this  class  .,Satisfied
If  you  are  looking  for  a  course  with  little  commitment  take  this  class  .,Satisfied
If  you  are  looking  for  a  course  with  little  commitment  take  this  class  .,Satisfied
Stay  on  top  of  the  readings  and  this  course  is  fun  and  relatively  little  work  .,Satisfied
Stay  on  top  of  the  readings  and  this  course  is  fun  and  relatively  little  work  .,Satisfied
Stay  on  top  of  the  readings  and  this  course  is  fun  and  relatively  little  work  .,Satisfied
Take  this  class  if  only  to  get  rid  of  an  EM  .  It  is  really  interesting  and  ___  is  an  awesome  professor  .,Satisfied
Take  this  class  if  only  to  get  rid  of  an  EM  .  It  is  really  interesting  and  ___  is  an  awesome  professor  .,Satisfied
Take  this  class  if  only  to  get  rid  of  an  EM  .  It  is  really  interesting  and  ___  is  an  awesome  professor  .,Satisfied
Do  your  reading  .  It  is  useful  and  helpful  .,Satisfied
Do  your  reading  .  It  is  useful  and  helpful  .,Satisfied
Do  your  reading  .  It  is  useful  and  helpful  .,Neither Satisfied Nor Dissatisfied
___  bother  making  notecards  for  details  because  there  are  way  too  many  of  them  .,Neither Satisfied Nor Dissatisfied
___  bother  making  notecards  for  details  because  there  are  way  too  many  of  them  .,Dissatisfied
___  bother  making  notecards  for  details  because  there  are  way  too  many  of  them  .,Dissatisfied
"If  you  are  very  interested  in  global  health  ,  then  go  for  it  !  ",Satisfied
"If  you  are  very  interested  in  global  health  ,  then  go  for  it  !  ",Satisfied
"If  you  are  very  interested  in  global  health  ,  then  go  for  it  !  ",Satisfied
"Take  this  class  if  you  're  interested  in  the  subject  material  ,  it  's  not  one  to  blow  off  ,  but  it  's  really  interesting  and  ___  's  lectures  are  great  !  ",Satisfied
"Take  this  class  if  you  're  interested  in  the  subject  material  ,  it  's  not  one  to  blow  off  ,  but  it  's  really  interesting  and  ___  's  lectures  are  great  !  ",Satisfied
"Take  this  class  if  you  're  interested  in  the  subject  material  ,  it  's  not  one  to  blow  off  ,  but  it  's  really  interesting  and  ___  's  lectures  are  great  !  ",Satisfied
Do  your  reading  early  and  keep  good  notes  .  Go  to  lecture  -  you  will  know  what  points  are  important  and  which  ones  are  n't  .,Neither Satisfied Nor Dissatisfied
Do  your  reading  early  and  keep  good  notes  .  Go  to  lecture  -  you  will  know  what  points  are  important  and  which  ones  are  n't  .,Neither Satisfied Nor Dissatisfied
Do  your  reading  early  and  keep  good  notes  .  Go  to  lecture  -  you  will  know  what  points  are  important  and  which  ones  are  n't  .,Neither Satisfied Nor Dissatisfied
"If  you  are  wishing  to  fulfill  your  EC  requirement  ,  this  is  the  class  for  you  .  Even  if  you  are  not  Christian  ,  this  class  is  excellent  .  ",Satisfied
"If  you  are  wishing  to  fulfill  your  EC  requirement  ,  this  is  the  class  for  you  .  Even  if  you  are  not  Christian  ,  this  class  is  excellent  .  ",Satisfied
"If  you  are  wishing  to  fulfill  your  EC  requirement  ,  this  is  the  class  for  you  .  Even  if  you  are  not  Christian  ,  this  class  is  excellent  .  ",Satisfied
"Take  this  class  if  you  are  interesting  in  Law  and  Economics  ,  and  dont  mind  writing  a  bit  on  assignments  .  ",Satisfied
"Take  this  class  if  you  are  interesting  in  Law  and  Economics  ,  and  dont  mind  writing  a  bit  on  assignments  .  ",Neither Satisfied Nor Dissatisfied
"Take  this  class  if  you  are  interesting  in  Law  and  Economics  ,  and  dont  mind  writing  a  bit  on  assignments  .  ",Satisfied
___  is  a  great  lecturer  and  the  readings  are  excellent  !,Satisfied
___  is  a  great  lecturer  and  the  readings  are  excellent  !,Satisfied
___  is  a  great  lecturer  and  the  readings  are  excellent  !,Satisfied
"If  you  can  ,  take  it  !  Professor  ___  is  excellent  !  ",Satisfied
"If  you  can  ,  take  it  !  Professor  ___  is  excellent  !  ",Satisfied
"If  you  can  ,  take  it  !  Professor  ___  is  excellent  !  ",Satisfied
