Review,Answer
Good  course  -  though  some  problems  require  going  to  office  hours/problem  sessions  so  start  on  problem  sets  early  -  obviously  .,Neither Satisfied Nor Dissatisfied
Good  course  -  though  some  problems  require  going  to  office  hours/problem  sessions  so  start  on  problem  sets  early  -  obviously  .,Satisfied
Good  course  -  though  some  problems  require  going  to  office  hours/problem  sessions  so  start  on  problem  sets  early  -  obviously  .,Satisfied
Good  course  .  Take  it  if  you  can  .,Satisfied
Good  course  .  Take  it  if  you  can  .,Satisfied
Good  course  .  Take  it  if  you  can  .,Satisfied
Good  exposure,Satisfied
Good  exposure,Satisfied
Good  exposure,Satisfied
Good  followup  to  126,Satisfied
Good  followup  to  126,Satisfied
Good  followup  to  126,Satisfied
Good  practice  programming  -  learn  fundamentals  of  computer  science  -  much  more  interesting  material  than  126  -  esp  .  in  second  half  of  course  .,Satisfied
Good  practice  programming  -  learn  fundamentals  of  computer  science  -  much  more  interesting  material  than  126  -  esp  .  in  second  half  of  course  .,Satisfied
Good  practice  programming  -  learn  fundamentals  of  computer  science  -  much  more  interesting  material  than  126  -  esp  .  in  second  half  of  course  .,Satisfied
good  ST  req  class,Neither Satisfied Nor Dissatisfied
good  ST  req  class,Satisfied
good  ST  req  class,Satisfied
Good  times  -  pretty  much  like  226  in  terms  of  workload,Satisfied
Good  times  -  pretty  much  like  226  in  terms  of  workload,Satisfied
Good  times  -  pretty  much  like  226  in  terms  of  workload,Satisfied
Grading  for  assignments  mostly  revolve  around  preceptor  -  but  it  's  a  good  course  on  algorithms  -  data  structures  -  and  analysis  .,Satisfied
Grading  for  assignments  mostly  revolve  around  preceptor  -  but  it  's  a  good  course  on  algorithms  -  data  structures  -  and  analysis  .,Satisfied
Grading  for  assignments  mostly  revolve  around  preceptor  -  but  it  's  a  good  course  on  algorithms  -  data  structures  -  and  analysis  .,Satisfied
Great  -  fun  course  .  Be  prepared  to  put  in  the  hours  -  though  .,Neither Satisfied Nor Dissatisfied
Great  -  fun  course  .  Be  prepared  to  put  in  the  hours  -  though  .,Satisfied
Great  -  fun  course  .  Be  prepared  to  put  in  the  hours  -  though  .,Satisfied
Great  -  interesting  class  !  High-level  approach  .,Satisfied
Great  -  interesting  class  !  High-level  approach  .,Satisfied
Great  -  interesting  class  !  High-level  approach  .,Satisfied
Great  !,Satisfied
Great  !,Satisfied
Great  !,Satisfied
Great  choice  for  a  lab,Satisfied
Great  choice  for  a  lab,Satisfied
Great  choice  for  a  lab,Satisfied
Great  class  -  definitely  take  and  get  ___  as  your  preceptor,Satisfied
Great  class  -  definitely  take  and  get  ___  as  your  preceptor,Satisfied
Great  class  -  definitely  take  and  get  ___  as  your  preceptor,Satisfied
GREAT  CLASS  !  really  interesting  !  I  am  so  glad  i  took  it  !,Satisfied
GREAT  CLASS  !  really  interesting  !  I  am  so  glad  i  took  it  !,Satisfied
GREAT  CLASS  !  really  interesting  !  I  am  so  glad  i  took  it  !,Satisfied
Great  class  for  people  who  need  to  fulfill  an  ST  requirement  .  The  material  is  very  interesting  .,Satisfied
Great  class  for  people  who  need  to  fulfill  an  ST  requirement  .  The  material  is  very  interesting  .,Satisfied
Great  class  for  people  who  need  to  fulfill  an  ST  requirement  .  The  material  is  very  interesting  .,Satisfied
take  it  if  your  research  is  about  quantitative  modeling,Neither Satisfied Nor Dissatisfied
take  it  if  your  research  is  about  quantitative  modeling,Satisfied
take  it  if  your  research  is  about  quantitative  modeling,Satisfied
Great  class  to  have  but  since  they  are  removing  the  ___  option  -  just  know  that  it  will  probably  lower  your  GPA  .,Satisfied
Great  class  to  have  but  since  they  are  removing  the  ___  option  -  just  know  that  it  will  probably  lower  your  GPA  .,Satisfied
Great  class  to  have  but  since  they  are  removing  the  ___  option  -  just  know  that  it  will  probably  lower  your  GPA  .,Satisfied
Take  it  Josh/Arvind  if  you  can  -  do  n't  take  it  if  it  will  be  flipped  lecture  style  .,Neither Satisfied Nor Dissatisfied
Take  it  Josh/Arvind  if  you  can  -  do  n't  take  it  if  it  will  be  flipped  lecture  style  .,Neither Satisfied Nor Dissatisfied
Take  it  Josh/Arvind  if  you  can  -  do  n't  take  it  if  it  will  be  flipped  lecture  style  .,Neither Satisfied Nor Dissatisfied
___  can  be  time  consuming  but  is  very  interesting  and  well  taught  .,Satisfied
___  can  be  time  consuming  but  is  very  interesting  and  well  taught  .,Satisfied
___  can  be  time  consuming  but  is  very  interesting  and  well  taught  .,Satisfied
Great  Course,Satisfied
Great  Course,Satisfied
Great  Course,Satisfied
Take  it  only  if  you  're  interested  in  this  material  .  I  was  n't  particularly  interested  -  but  some  of  my  colleagues  who  were  claimed  to  enjoy  this  course  much  more  than  I  did  .,Neither Satisfied Nor Dissatisfied
Take  it  only  if  you  're  interested  in  this  material  .  I  was  n't  particularly  interested  -  but  some  of  my  colleagues  who  were  claimed  to  enjoy  this  course  much  more  than  I  did  .,Dissatisfied
Take  it  only  if  you  're  interested  in  this  material  .  I  was  n't  particularly  interested  -  but  some  of  my  colleagues  who  were  claimed  to  enjoy  this  course  much  more  than  I  did  .,Dissatisfied
Take  it  only  if  you  're  really  interested  in  programming  .  The  assignments  -  though  not  conceptually  difficult  -  can  be  quite  tedious  .,Neither Satisfied Nor Dissatisfied
Take  it  only  if  you  're  really  interested  in  programming  .  The  assignments  -  though  not  conceptually  difficult  -  can  be  quite  tedious  .,Satisfied
Take  it  only  if  you  're  really  interested  in  programming  .  The  assignments  -  though  not  conceptually  difficult  -  can  be  quite  tedious  .,Neither Satisfied Nor Dissatisfied
Great  course,Satisfied
Great  course,Satisfied
Great  course,Satisfied
More  difficult  than  I  expected  .  Tests  are  difficult  -  for  me  at  least  as  a  non-COS  major  and  one  not  particularly  talented  at  COS  .,Dissatisfied
More  difficult  than  I  expected  .  Tests  are  difficult  -  for  me  at  least  as  a  non-COS  major  and  one  not  particularly  talented  at  COS  .,Neither Satisfied Nor Dissatisfied
More  difficult  than  I  expected  .  Tests  are  difficult  -  for  me  at  least  as  a  non-COS  major  and  one  not  particularly  talented  at  COS  .,Dissatisfied
___  is  a  decent  lecturer  -  and  Josh  Hug  is  the  best  ;  try  to  get  a  precept  with  Hug  if  you  can  .  The  assignments  are  not  too  bad,Satisfied
___  is  a  decent  lecturer  -  and  Josh  Hug  is  the  best  ;  try  to  get  a  precept  with  Hug  if  you  can  .  The  assignments  are  not  too  bad,Satisfied
___  is  a  decent  lecturer  -  and  Josh  Hug  is  the  best  ;  try  to  get  a  precept  with  Hug  if  you  can  .  The  assignments  are  not  too  bad,Satisfied
Take  it  only  if  you  are  an  ___  major  -  not  otherwise  .,Neither Satisfied Nor Dissatisfied
Take  it  only  if  you  are  an  ___  major  -  not  otherwise  .,Dissatisfied
Take  it  only  if  you  are  an  ___  major  -  not  otherwise  .,Neither Satisfied Nor Dissatisfied
Take  it  only  if  you  are  willing  to  spend  10  hours  per  week  coding  .,Dissatisfied
Take  it  only  if  you  are  willing  to  spend  10  hours  per  week  coding  .,Neither Satisfied Nor Dissatisfied
Take  it  only  if  you  are  willing  to  spend  10  hours  per  week  coding  .,Neither Satisfied Nor Dissatisfied
Most  people  will  be  taking  this  because  they  have  to  but  it  's  a  good  class  nonetheless  and  you  learn  many  useful  skills  and  knowledge  for  programming  .,Satisfied
Most  people  will  be  taking  this  because  they  have  to  but  it  's  a  good  class  nonetheless  and  you  learn  many  useful  skills  and  knowledge  for  programming  .,Satisfied
